vx,vy,vz,sci_photons,xpos0,ypos0,photons0,xpos1,ypos1,photons1,xpos2,ypos2,photons2,xpos3,ypos3,photons3,xpos4,ypos4,photons4,xpos5,ypos5,photons5,xpos6,ypos6,photons6,xpos7,ypos7,photons7,xpos8,ypos8,photons8,xpos9,ypos9,photons9,xpos10,ypos10,photons10,xpos11,ypos11,photons11,xpos12,ypos12,photons12,xpos13,ypos13,photons13,xpos14,ypos14,photons14,xpos15,ypos15,photons15
24.2463,34.9382,8.60008,117,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-10.4701,18.8222,3.9632,157583,-75,-75,71,-75,-25,88,-75,25,98,-75,75,108,-25,-75,77,-25,-25,112,-25,25,148,-25,75,84,25,-75,83,25,-25,103,25,25,102,25,75,103,75,-75,73,75,-25,82,75,25,96,75,75,68
-42.2545,-91.1616,4.88829,118467,-75,-75,146,-75,-25,82,-75,25,62,-75,75,46,-25,-75,111,-25,-25,69,-25,25,43,-25,75,44,25,-75,74,25,-25,44,25,25,42,25,75,42,75,-75,56,75,-25,55,75,25,38,75,75,41
54.2393,62.0326,-17.6782,38,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-75,1,25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,75,75,1
-52.3651,-72.8214,-8.59666,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-70.5938,61.1831,-10.2948,159086,-75,-75,77,-75,-25,101,-75,25,202,-75,75,340,-25,-75,62,-25,-25,73,-25,25,95,-25,75,160,25,-75,45,25,-25,41,25,25,65,25,75,76,75,-75,52,75,-25,62,75,25,62,75,75,72
-29.9559,-37.4849,7.88884,143,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,75,75,1
-29.7651,66.4029,-15.0646,115,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,75,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-23.1984,-79.9057,24.2373,148,-75,-75,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-75,75,1,-25,-75,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-75,1,-99.9,-99.9,-1,25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
88.5923,57.1734,3.51687,139422,-75,-75,47,-75,-25,41,-75,25,37,-75,75,55,-25,-75,39,-25,-25,38,-25,25,56,-25,75,61,25,-75,55,25,-25,58,25,25,77,25,75,102,75,-75,62,75,-25,95,75,25,152,75,75,185
68.6573,-50.9285,0.564715,30111,-75,-75,17,-75,-25,10,-75,25,12,-75,75,6,-25,-75,22,-25,-25,18,-25,25,8,-25,75,10,25,-75,25,25,-25,17,25,25,19,25,75,11,75,-75,45,75,-25,23,75,25,18,75,75,19
38.1955,-46.097,1.40833,5380,-75,-75,4,-75,-25,3,-99.9,-99.9,-1,-99.9,-99.9,-1,-25,-75,3,-25,-25,5,-25,25,2,-99.9,-99.9,-1,25,-75,8,25,-25,9,25,25,3,25,75,1,75,-75,6,75,-25,5,75,25,2,75,75,1
